Business Area,Cost element name,Cost Element Group,Cost Element Sub Group,Value Column Name,Value
"Infrastructure","Telecom","Other","Other","LE1",
"Infrastructure","Telecom","Other","Project Expenses","LE1",
"Infrastructure","Telecom","Other","Recognition","LE1",
"Infrastructure","Telecom","Other","Severance","LE1",
"Infrastructure","Telecom","Other","Supplies","LE1",
"Infrastructure","Telecom","Other","Taxes","LE1",
"Infrastructure","Telecom","Other","Telecomm","LE1","-7860699.725879987"
"Infrastructure","Telecom","Other","Training","LE1",
"Infrastructure","Telecom","Other","Travel","LE1",
"Infrastructure","Telecom","Other","Vehicles","LE1",
"Infrastructure","Telecom","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Telecom","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Administrative Other","Administrative","Administrative","LE1","-19952811.359339997"
"Infrastructure","Administrative Other","CAPEX","CAPEX","LE1",
"Infrastructure","Administrative Other","Depr & Amort","Amortization","LE1",
"Infrastructure","Administrative Other","Depr & Amort","Depreciation","LE1",
"Infrastructure","Administrative Other","Hardware & Software","Hardware","LE1",
"Infrastructure","Administrative Other","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Administrative Other","Hardware & Software","Software","LE1",
"Infrastructure","Administrative Other","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Administrative Other","Labor","External Labor","LE1",
"Infrastructure","Administrative Other","Labor","Internal Labor","LE1",
"Infrastructure","Administrative Other","Other","Employee Performance","LE1",
"Infrastructure","Administrative Other","Other","Legal","LE1",
"Infrastructure","Administrative Other","Other","Moving","LE1",
"Infrastructure","Administrative Other","Other","Other","LE1",
"Infrastructure","Administrative Other","Other","Project Expenses","LE1",
"Infrastructure","Administrative Other","Other","Recognition","LE1",
"Infrastructure","Administrative Other","Other","Severance","LE1",
"Infrastructure","Administrative Other","Other","Supplies","LE1",
"Infrastructure","Administrative Other","Other","Taxes","LE1",
"Infrastructure","Administrative Other","Other","Telecomm","LE1",
"Infrastructure","Administrative Other","Other","Training","LE1",
"Infrastructure","Administrative Other","Other","Travel","LE1",
"Infrastructure","Administrative Other","Other","Vehicles","LE1",
"Infrastructure","Administrative Other","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Administrative Other","Shared Services","Outbound Allocations","LE1",
"Office & Administrative","Software","Administrative","Administrative","LE1",
"Office & Administrative","Software","CAPEX","CAPEX","LE1",
"Office & Administrative","Software","Depr & Amort","Amortization","LE1","23170348.763999995"
"Office & Administrative","Software","Depr & Amort","Depreciation","LE1",
"Office & Administrative","Software","Hardware & Software","Hardware","LE1",
"Office & Administrative","Software","Hardware & Software","Hardware Maintenance","LE1",
"Office & Administrative","Software","Hardware & Software","Software","LE1",
"Office & Administrative","Software","Hardware & Software","Software Maintenance","LE1",
"Office & Administrative","Software","Labor","External Labor","LE1",
"Office & Administrative","Software","Labor","Internal Labor","LE1",
"Office & Administrative","Software","Other","Employee Performance","LE1",
"Office & Administrative","Software","Other","Legal","LE1",
"Office & Administrative","Software","Other","Moving","LE1",
"Office & Administrative","Software","Other","Other","LE1",
"Office & Administrative","Software","Other","Project Expenses","LE1",
"Office & Administrative","Software","Other","Recognition","LE1",
"Office & Administrative","Software","Other","Severance","LE1",
"Office & Administrative","Software","Other","Supplies","LE1",
"Office & Administrative","Software","Other","Taxes","LE1",
"Office & Administrative","Software","Other","Telecomm","LE1",
"Office & Administrative","Software","Other","Training","LE1",
"Office & Administrative","Software","Other","Travel","LE1",
"Office & Administrative","Software","Other","Vehicles","LE1",
"Office & Administrative","Software","Shared Services","Inbound Allocations","LE1",
"Office & Administrative","Software","Shared Services","Outbound Allocations","LE1",
"Office & Administrative","Professional Services","Administrative","Administrative","LE1",
"Office & Administrative","Professional Services","CAPEX","CAPEX","LE1","-317722.99499999994"
"Office & Administrative","Professional Services","Depr & Amort","Amortization","LE1",
"Office & Administrative","Professional Services","Depr & Amort","Depreciation","LE1",
"Office & Administrative","Professional Services","Hardware & Software","Hardware","LE1",
"Office & Administrative","Professional Services","Hardware & Software","Hardware Maintenance","LE1",
"Office & Administrative","Professional Services","Hardware & Software","Software","LE1",
"Office & Administrative","Professional Services","Hardware & Software","Software Maintenance","LE1",
"Office & Administrative","Professional Services","Labor","External Labor","LE1","6078396.11109"
"Office & Administrative","Professional Services","Labor","Internal Labor","LE1",
"Office & Administrative","Professional Services","Other","Employee Performance","LE1",
"Office & Administrative","Professional Services","Other","Legal","LE1",
"Office & Administrative","Professional Services","Other","Moving","LE1",
"Office & Administrative","Professional Services","Other","Other","LE1",
"Office & Administrative","Professional Services","Other","Project Expenses","LE1",
"Office & Administrative","Professional Services","Other","Recognition","LE1",
"Office & Administrative","Professional Services","Other","Severance","LE1",
"Office & Administrative","Professional Services","Other","Supplies","LE1",
"Office & Administrative","Professional Services","Other","Taxes","LE1",
"Office & Administrative","Professional Services","Other","Telecomm","LE1",
"Office & Administrative","Professional Services","Other","Training","LE1",
"Office & Administrative","Professional Services","Other","Travel","LE1",
"Office & Administrative","Professional Services","Other","Vehicles","LE1",
"Office & Administrative","Professional Services","Shared Services","Inbound Allocations","LE1",
"Office & Administrative","Professional Services","Shared Services","Outbound Allocations","LE1",
"Office & Administrative","Regular Salaries And Wages","Administrative","Administrative","LE1",
"Office & Administrative","Regular Salaries And Wages","CAPEX","CAPEX","LE1",
"Office & Administrative","Regular Salaries And Wages","Depr & Amort","Amortization","LE1",
"Office & Administrative","Regular Salaries And Wages","Depr & Amort","Depreciation","LE1",
"Office & Administrative","Regular Salaries And Wages","Hardware & Software","Hardware","LE1",
"Office & Administrative","Regular Salaries And Wages","Hardware & Software","Hardware Maintenance","LE1",
"Office & Administrative","Regular Salaries And Wages","Hardware & Software","Software","LE1",
"Office & Administrative","Regular Salaries And Wages","Hardware & Software","Software Maintenance","LE1",
"Office & Administrative","Regular Salaries And Wages","Labor","External Labor","LE1",
"Office & Administrative","Regular Salaries And Wages","Labor","Internal Labor","LE1","5461617.659999998"
"Office & Administrative","Regular Salaries And Wages","Other","Employee Performance","LE1",
"Office & Administrative","Regular Salaries And Wages","Other","Legal","LE1",
"Office & Administrative","Regular Salaries And Wages","Other","Moving","LE1",
"Office & Administrative","Regular Salaries And Wages","Other","Other","LE1",
"Office & Administrative","Regular Salaries And Wages","Other","Project Expenses","LE1",
"Office & Administrative","Regular Salaries And Wages","Other","Recognition","LE1",
"Office & Administrative","Regular Salaries And Wages","Other","Severance","LE1",
"Office & Administrative","Regular Salaries And Wages","Other","Supplies","LE1",
"Office & Administrative","Regular Salaries And Wages","Other","Taxes","LE1",
"Office & Administrative","Regular Salaries And Wages","Other","Telecomm","LE1",
"Office & Administrative","Regular Salaries And Wages","Other","Training","LE1",
"Office & Administrative","Regular Salaries And Wages","Other","Travel","LE1",
"Office & Administrative","Regular Salaries And Wages","Other","Vehicles","LE1",
"Office & Administrative","Regular Salaries And Wages","Shared Services","Inbound Allocations","LE1",
"Office & Administrative","Regular Salaries And Wages","Shared Services","Outbound Allocations","LE1",
"Office & Administrative","Software Maintenance","Administrative","Administrative","LE1",
"Office & Administrative","Software Maintenance","CAPEX","CAPEX","LE1",
"Office & Administrative","Software Maintenance","Depr & Amort","Amortization","LE1",
"Office & Administrative","Software Maintenance","Depr & Amort","Depreciation","LE1",
"Office & Administrative","Software Maintenance","Hardware & Software","Hardware","LE1",
"Office & Administrative","Software Maintenance","Hardware & Software","Hardware Maintenance","LE1",
"Office & Administrative","Software Maintenance","Hardware & Software","Software","LE1",
"Office & Administrative","Software Maintenance","Hardware & Software","Software Maintenance","LE1","3962068.4641799997"
"Office & Administrative","Software Maintenance","Labor","External Labor","LE1",
"Office & Administrative","Software Maintenance","Labor","Internal Labor","LE1",
"Office & Administrative","Software Maintenance","Other","Employee Performance","LE1",
"Office & Administrative","Software Maintenance","Other","Legal","LE1",
"Office & Administrative","Software Maintenance","Other","Moving","LE1",
"Office & Administrative","Software Maintenance","Other","Other","LE1",
"Office & Administrative","Software Maintenance","Other","Project Expenses","LE1",
"Office & Administrative","Software Maintenance","Other","Recognition","LE1",
"Office & Administrative","Software Maintenance","Other","Severance","LE1",
"Office & Administrative","Software Maintenance","Other","Supplies","LE1",
"Office & Administrative","Software Maintenance","Other","Taxes","LE1",
"Office & Administrative","Software Maintenance","Other","Telecomm","LE1",
"Office & Administrative","Software Maintenance","Other","Training","LE1",
"Office & Administrative","Software Maintenance","Other","Travel","LE1",
"Office & Administrative","Software Maintenance","Other","Vehicles","LE1",
"Office & Administrative","Software Maintenance","Shared Services","Inbound Allocations","LE1",
"Office & Administrative","Software Maintenance","Shared Services","Outbound Allocations","LE1",
"Office & Administrative","Purchased Software","Administrative","Administrative","LE1",
"Office & Administrative","Purchased Software","CAPEX","CAPEX","LE1",
"Office & Administrative","Purchased Software","Depr & Amort","Amortization","LE1",
"Office & Administrative","Purchased Software","Depr & Amort","Depreciation","LE1",
"Office & Administrative","Purchased Software","Hardware & Software","Hardware","LE1",
"Office & Administrative","Purchased Software","Hardware & Software","Hardware Maintenance","LE1",
"Office & Administrative","Purchased Software","Hardware & Software","Software","LE1","2966615.004899998"
"Office & Administrative","Purchased Software","Hardware & Software","Software Maintenance","LE1",
"Office & Administrative","Purchased Software","Labor","External Labor","LE1",
"Office & Administrative","Purchased Software","Labor","Internal Labor","LE1",
"Office & Administrative","Purchased Software","Other","Employee Performance","LE1",
"Office & Administrative","Purchased Software","Other","Legal","LE1",
"Office & Administrative","Purchased Software","Other","Moving","LE1",
"Office & Administrative","Purchased Software","Other","Other","LE1",
"Office & Administrative","Purchased Software","Other","Project Expenses","LE1",
"Office & Administrative","Purchased Software","Other","Recognition","LE1",
"Office & Administrative","Purchased Software","Other","Severance","LE1",
"Office & Administrative","Purchased Software","Other","Supplies","LE1",
"Office & Administrative","Purchased Software","Other","Taxes","LE1",
"Office & Administrative","Purchased Software","Other","Telecomm","LE1",
"Office & Administrative","Purchased Software","Other","Training","LE1",
"Office & Administrative","Purchased Software","Other","Travel","LE1",
"Office & Administrative","Purchased Software","Other","Vehicles","LE1",
"Office & Administrative","Purchased Software","Shared Services","Inbound Allocations","LE1",
"Office & Administrative","Purchased Software","Shared Services","Outbound Allocations","LE1",
"Office & Administrative","Outsourcing","Administrative","Administrative","LE1",
"Office & Administrative","Outsourcing","CAPEX","CAPEX","LE1",
"Office & Administrative","Outsourcing","Depr & Amort","Amortization","LE1",
"Office & Administrative","Outsourcing","Depr & Amort","Depreciation","LE1",
"Office & Administrative","Outsourcing","Hardware & Software","Hardware","LE1",
"Office & Administrative","Outsourcing","Hardware & Software","Hardware Maintenance","LE1",
"Office & Administrative","Outsourcing","Hardware & Software","Software","LE1",
"Office & Administrative","Outsourcing","Hardware & Software","Software Maintenance","LE1",
"Office & Administrative","Outsourcing","Labor","External Labor","LE1","2958608.8891800027"
"Office & Administrative","Outsourcing","Labor","Internal Labor","LE1",
"Office & Administrative","Outsourcing","Other","Employee Performance","LE1",
"Office & Administrative","Outsourcing","Other","Legal","LE1",
"Office & Administrative","Outsourcing","Other","Moving","LE1",
"Office & Administrative","Outsourcing","Other","Other","LE1",
"Office & Administrative","Outsourcing","Other","Project Expenses","LE1",
"Office & Administrative","Outsourcing","Other","Recognition","LE1",
"Office & Administrative","Outsourcing","Other","Severance","LE1",
"Office & Administrative","Outsourcing","Other","Supplies","LE1",
"Office & Administrative","Outsourcing","Other","Taxes","LE1",
"Office & Administrative","Outsourcing","Other","Telecomm","LE1",
"Office & Administrative","Outsourcing","Other","Training","LE1",
"Office & Administrative","Outsourcing","Other","Travel","LE1",
"Office & Administrative","Outsourcing","Other","Vehicles","LE1",
"Office & Administrative","Outsourcing","Shared Services","Inbound Allocations","LE1",
"Office & Administrative","Outsourcing","Shared Services","Outbound Allocations","LE1",
"Office & Administrative","Fixed Assets","Administrative","Administrative","LE1",
"Office & Administrative","Fixed Assets","CAPEX","CAPEX","LE1",
"Office & Administrative","Fixed Assets","Depr & Amort","Amortization","LE1",
"Office & Administrative","Fixed Assets","Depr & Amort","Depreciation","LE1","2459282.051999999"
"Office & Administrative","Fixed Assets","Hardware & Software","Hardware","LE1",
"Office & Administrative","Fixed Assets","Hardware & Software","Hardware Maintenance","LE1",
"Office & Administrative","Fixed Assets","Hardware & Software","Software","LE1",
"Office & Administrative","Fixed Assets","Hardware & Software","Software Maintenance","LE1",
"Office & Administrative","Fixed Assets","Labor","External Labor","LE1",
"Office & Administrative","Fixed Assets","Labor","Internal Labor","LE1",
"Office & Administrative","Fixed Assets","Other","Employee Performance","LE1",
"Office & Administrative","Fixed Assets","Other","Legal","LE1",
"Office & Administrative","Fixed Assets","Other","Moving","LE1",
"Office & Administrative","Fixed Assets","Other","Other","LE1",
"Office & Administrative","Fixed Assets","Other","Project Expenses","LE1",
"Office & Administrative","Fixed Assets","Other","Recognition","LE1",
"Office & Administrative","Fixed Assets","Other","Severance","LE1",
"Office & Administrative","Fixed Assets","Other","Supplies","LE1",
"Office & Administrative","Fixed Assets","Other","Taxes","LE1",
"Office & Administrative","Fixed Assets","Other","Telecomm","LE1",
"Office & Administrative","Fixed Assets","Other","Training","LE1",
"Office & Administrative","Fixed Assets","Other","Travel","LE1",
"Office & Administrative","Fixed Assets","Other","Vehicles","LE1",
"Office & Administrative","Fixed Assets","Shared Services","Inbound Allocations","LE1",
"Office & Administrative","Fixed Assets","Shared Services","Outbound Allocations","LE1",
"Office & Administrative","Retirement Plan Match","Administrative","Administrative","LE1",
"Office & Administrative","Retirement Plan Match","CAPEX","CAPEX","LE1",
"Office & Administrative","Retirement Plan Match","Depr & Amort","Amortization","LE1",
"Office & Administrative","Retirement Plan Match","Depr & Amort","Depreciation","LE1",
"Office & Administrative","Retirement Plan Match","Hardware & Software","Hardware","LE1",
"Office & Administrative","Retirement Plan Match","Hardware & Software","Hardware Maintenance","LE1",
"Office & Administrative","Retirement Plan Match","Hardware & Software","Software","LE1",
"Office & Administrative","Retirement Plan Match","Hardware & Software","Software Maintenance","LE1",
"Office & Administrative","Retirement Plan Match","Labor","External Labor","LE1",
"Office & Administrative","Retirement Plan Match","Labor","Internal Labor","LE1","514992.2039999997"
"Office & Administrative","Retirement Plan Match","Other","Employee Performance","LE1",
"Office & Administrative","Retirement Plan Match","Other","Legal","LE1",
"Office & Administrative","Retirement Plan Match","Other","Moving","LE1",
"Office & Administrative","Retirement Plan Match","Other","Other","LE1",
"Office & Administrative","Retirement Plan Match","Other","Project Expenses","LE1",
"Office & Administrative","Retirement Plan Match","Other","Recognition","LE1",
"Office & Administrative","Retirement Plan Match","Other","Severance","LE1",
"Office & Administrative","Retirement Plan Match","Other","Supplies","LE1",
"Office & Administrative","Retirement Plan Match","Other","Taxes","LE1",
"Office & Administrative","Retirement Plan Match","Other","Telecomm","LE1",
"Office & Administrative","Retirement Plan Match","Other","Training","LE1",
"Office & Administrative","Retirement Plan Match","Other","Travel","LE1",
"Office & Administrative","Retirement Plan Match","Other","Vehicles","LE1",
"Office & Administrative","Retirement Plan Match","Shared Services","Inbound Allocations","LE1",
"Office & Administrative","Retirement Plan Match","Shared Services","Outbound Allocations","LE1",
"Office & Administrative","Insurance","Administrative","Administrative","LE1",
"Office & Administrative","Insurance","CAPEX","CAPEX","LE1",
"Office & Administrative","Insurance","Depr & Amort","Amortization","LE1",
"Office & Administrative","Insurance","Depr & Amort","Depreciation","LE1",
"Office & Administrative","Insurance","Hardware & Software","Hardware","LE1",
"Office & Administrative","Insurance","Hardware & Software","Hardware Maintenance","LE1",
"Office & Administrative","Insurance","Hardware & Software","Software","LE1",
"Office & Administrative","Insurance","Hardware & Software","Software Maintenance","LE1",
"Office & Administrative","Insurance","Labor","External Labor","LE1",
"Office & Administrative","Insurance","Labor","Internal Labor","LE1","505468.6469999997"
"Office & Administrative","Insurance","Other","Employee Performance","LE1",
"Office & Administrative","Insurance","Other","Legal","LE1",
"Office & Administrative","Insurance","Other","Moving","LE1",
"Office & Administrative","Insurance","Other","Other","LE1",
"Office & Administrative","Insurance","Other","Project Expenses","LE1",
"Office & Administrative","Insurance","Other","Recognition","LE1",
"Office & Administrative","Insurance","Other","Severance","LE1",
"Office & Administrative","Insurance","Other","Supplies","LE1",
"Office & Administrative","Insurance","Other","Taxes","LE1",
"Office & Administrative","Insurance","Other","Telecomm","LE1",
"Office & Administrative","Insurance","Other","Training","LE1",
"Office & Administrative","Insurance","Other","Travel","LE1",
"Office & Administrative","Insurance","Other","Vehicles","LE1",
"Office & Administrative","Insurance","Shared Services","Inbound Allocations","LE1",
"Office & Administrative","Insurance","Shared Services","Outbound Allocations","LE1",
"Office & Administrative","Bonuses","Administrative","Administrative","LE1",
"Office & Administrative","Bonuses","CAPEX","CAPEX","LE1",
"Office & Administrative","Bonuses","Depr & Amort","Amortization","LE1",
"Office & Administrative","Bonuses","Depr & Amort","Depreciation","LE1",
"Office & Administrative","Bonuses","Hardware & Software","Hardware","LE1",
"Office & Administrative","Bonuses","Hardware & Software","Hardware Maintenance","LE1",
"Office & Administrative","Bonuses","Hardware & Software","Software","LE1",
"Office & Administrative","Bonuses","Hardware & Software","Software Maintenance","LE1",
"Office & Administrative","Bonuses","Labor","External Labor","LE1",
"Office & Administrative","Bonuses","Labor","Internal Labor","LE1","497646.75600000005"
"Office & Administrative","Bonuses","Other","Employee Performance","LE1",
"Office & Administrative","Bonuses","Other","Legal","LE1",
"Office & Administrative","Bonuses","Other","Moving","LE1",
"Office & Administrative","Bonuses","Other","Other","LE1",
"Office & Administrative","Bonuses","Other","Project Expenses","LE1",
"Office & Administrative","Bonuses","Other","Recognition","LE1",
"Office & Administrative","Bonuses","Other","Severance","LE1",
"Office & Administrative","Bonuses","Other","Supplies","LE1",
"Office & Administrative","Bonuses","Other","Taxes","LE1",
"Office & Administrative","Bonuses","Other","Telecomm","LE1",
"Office & Administrative","Bonuses","Other","Training","LE1",
"Office & Administrative","Bonuses","Other","Travel","LE1",
"Office & Administrative","Bonuses","Other","Vehicles","LE1",
"Office & Administrative","Bonuses","Shared Services","Inbound Allocations","LE1",
"Office & Administrative","Bonuses","Shared Services","Outbound Allocations","LE1",
"Office & Administrative","Retirement Medical","Administrative","Administrative","LE1",
"Office & Administrative","Retirement Medical","CAPEX","CAPEX","LE1",
"Office & Administrative","Retirement Medical","Depr & Amort","Amortization","LE1",
"Office & Administrative","Retirement Medical","Depr & Amort","Depreciation","LE1",
"Office & Administrative","Retirement Medical","Hardware & Software","Hardware","LE1",
"Office & Administrative","Retirement Medical","Hardware & Software","Hardware Maintenance","LE1",
"Office & Administrative","Retirement Medical","Hardware & Software","Software","LE1",
"Office & Administrative","Retirement Medical","Hardware & Software","Software Maintenance","LE1",
"Office & Administrative","Retirement Medical","Labor","External Labor","LE1",
"Office & Administrative","Retirement Medical","Labor","Internal Labor","LE1","397641.0299999998"
"Office & Administrative","Retirement Medical","Other","Employee Performance","LE1",
"Office & Administrative","Retirement Medical","Other","Legal","LE1",
"Office & Administrative","Retirement Medical","Other","Moving","LE1",
"Office & Administrative","Retirement Medical","Other","Other","LE1",
"Office & Administrative","Retirement Medical","Other","Project Expenses","LE1",
"Office & Administrative","Retirement Medical","Other","Recognition","LE1",
"Office & Administrative","Retirement Medical","Other","Severance","LE1",
"Office & Administrative","Retirement Medical","Other","Supplies","LE1",
"Office & Administrative","Retirement Medical","Other","Taxes","LE1",
"Office & Administrative","Retirement Medical","Other","Telecomm","LE1",
"Office & Administrative","Retirement Medical","Other","Training","LE1",
"Office & Administrative","Retirement Medical","Other","Travel","LE1",
"Office & Administrative","Retirement Medical","Other","Vehicles","LE1",
"Office & Administrative","Retirement Medical","Shared Services","Inbound Allocations","LE1",
"Office & Administrative","Retirement Medical","Shared Services","Outbound Allocations","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Administrative","Administrative","LE1",
"Office & Administrative","Payroll Taxes - Salaries","CAPEX","CAPEX","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Depr & Amort","Amortization","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Depr & Amort","Depreciation","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Hardware & Software","Hardware","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Hardware & Software","Hardware Maintenance","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Hardware & Software","Software","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Hardware & Software","Software Maintenance","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Labor","External Labor","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Labor","Internal Labor","LE1","377843.69099999993"
"Office & Administrative","Payroll Taxes - Salaries","Other","Employee Performance","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Other","Legal","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Other","Moving","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Other","Other","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Other","Project Expenses","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Other","Recognition","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Other","Severance","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Other","Supplies","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Other","Taxes","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Other","Telecomm","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Other","Training","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Other","Travel","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Other","Vehicles","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Shared Services","Inbound Allocations","LE1",
"Office & Administrative","Payroll Taxes - Salaries","Shared Services","Outbound Allocations","LE1",
"Office & Administrative","Sub Contract Labor","Administrative","Administrative","LE1",
"Office & Administrative","Sub Contract Labor","CAPEX","CAPEX","LE1",
"Office & Administrative","Sub Contract Labor","Depr & Amort","Amortization","LE1",
"Office & Administrative","Sub Contract Labor","Depr & Amort","Depreciation","LE1",
"Office & Administrative","Sub Contract Labor","Hardware & Software","Hardware","LE1",
"Office & Administrative","Sub Contract Labor","Hardware & Software","Hardware Maintenance","LE1",
"Office & Administrative","Sub Contract Labor","Hardware & Software","Software","LE1",
"Office & Administrative","Sub Contract Labor","Hardware & Software","Software Maintenance","LE1",
"Office & Administrative","Sub Contract Labor","Labor","External Labor","LE1","240000"
"Office & Administrative","Sub Contract Labor","Labor","Internal Labor","LE1",
"Office & Administrative","Sub Contract Labor","Other","Employee Performance","LE1",
"Office & Administrative","Sub Contract Labor","Other","Legal","LE1",
"Office & Administrative","Sub Contract Labor","Other","Moving","LE1",
"Office & Administrative","Sub Contract Labor","Other","Other","LE1",
"Office & Administrative","Sub Contract Labor","Other","Project Expenses","LE1",
"Office & Administrative","Sub Contract Labor","Other","Recognition","LE1",
"Office & Administrative","Sub Contract Labor","Other","Severance","LE1",
"Office & Administrative","Sub Contract Labor","Other","Supplies","LE1",
"Office & Administrative","Sub Contract Labor","Other","Taxes","LE1",
"Office & Administrative","Sub Contract Labor","Other","Telecomm","LE1",
"Office & Administrative","Sub Contract Labor","Other","Training","LE1",
"Office & Administrative","Sub Contract Labor","Other","Travel","LE1",
"Office & Administrative","Sub Contract Labor","Other","Vehicles","LE1",
"Office & Administrative","Sub Contract Labor","Shared Services","Inbound Allocations","LE1",
"Office & Administrative","Sub Contract Labor","Shared Services","Outbound Allocations","LE1",
"Office & Administrative","Savings Plan","Administrative","Administrative","LE1",
"Office & Administrative","Savings Plan","CAPEX","CAPEX","LE1",
"Office & Administrative","Savings Plan","Depr & Amort","Amortization","LE1",
"Office & Administrative","Savings Plan","Depr & Amort","Depreciation","LE1",
"Office & Administrative","Savings Plan","Hardware & Software","Hardware","LE1",
"Office & Administrative","Savings Plan","Hardware & Software","Hardware Maintenance","LE1",
"Office & Administrative","Savings Plan","Hardware & Software","Software","LE1",
"Office & Administrative","Savings Plan","Hardware & Software","Software Maintenance","LE1",
"Office & Administrative","Savings Plan","Labor","External Labor","LE1",
"Office & Administrative","Savings Plan","Labor","Internal Labor","LE1","235916.4749999999"
"Office & Administrative","Savings Plan","Other","Employee Performance","LE1",
"Office & Administrative","Savings Plan","Other","Legal","LE1",
"Office & Administrative","Savings Plan","Other","Moving","LE1",
"Office & Administrative","Savings Plan","Other","Other","LE1",
"Office & Administrative","Savings Plan","Other","Project Expenses","LE1",
"Office & Administrative","Savings Plan","Other","Recognition","LE1",
"Office & Administrative","Savings Plan","Other","Severance","LE1",
"Office & Administrative","Savings Plan","Other","Supplies","LE1",
"Office & Administrative","Savings Plan","Other","Taxes","LE1",
"Office & Administrative","Savings Plan","Other","Telecomm","LE1",
"Office & Administrative","Savings Plan","Other","Training","LE1",
"Office & Administrative","Savings Plan","Other","Travel","LE1",
"Office & Administrative","Savings Plan","Other","Vehicles","LE1",
"Office & Administrative","Savings Plan","Shared Services","Inbound Allocations","LE1",
"Office & Administrative","Savings Plan","Shared Services","Outbound Allocations","LE1",
"Office & Administrative","Other Miscellaneous Expense","Administrative","Administrative","LE1",
"Office & Administrative","Other Miscellaneous Expense","CAPEX","CAPEX","LE1",
"Office & Administrative","Other Miscellaneous Expense","Depr & Amort","Amortization","LE1",
"Office & Administrative","Other Miscellaneous Expense","Depr & Amort","Depreciation","LE1",
"Office & Administrative","Other Miscellaneous Expense","Hardware & Software","Hardware","LE1",
"Office & Administrative","Other Miscellaneous Expense","Hardware & Software","Hardware Maintenance","LE1",
"Office & Administrative","Other Miscellaneous Expense","Hardware & Software","Software","LE1",
"Office & Administrative","Other Miscellaneous Expense","Hardware & Software","Software Maintenance","LE1",
"Office & Administrative","Other Miscellaneous Expense","Labor","External Labor","LE1",
"Office & Administrative","Other Miscellaneous Expense","Labor","Internal Labor","LE1",
"Office & Administrative","Other Miscellaneous Expense","Other","Employee Performance","LE1",
"Office & Administrative","Other Miscellaneous Expense","Other","Legal","LE1",
"Office & Administrative","Other Miscellaneous Expense","Other","Moving","LE1",
"Office & Administrative","Other Miscellaneous Expense","Other","Other","LE1","192967.4579999999"
"Office & Administrative","Other Miscellaneous Expense","Other","Project Expenses","LE1",
"Office & Administrative","Other Miscellaneous Expense","Other","Recognition","LE1",
"Office & Administrative","Other Miscellaneous Expense","Other","Severance","LE1",
"Office & Administrative","Other Miscellaneous Expense","Other","Supplies","LE1",
"Office & Administrative","Other Miscellaneous Expense","Other","Taxes","LE1",
"Office & Administrative","Other Miscellaneous Expense","Other","Telecomm","LE1",
"Office & Administrative","Other Miscellaneous Expense","Other","Training","LE1",
"Office & Administrative","Other Miscellaneous Expense","Other","Travel","LE1",
"Office & Administrative","Other Miscellaneous Expense","Other","Vehicles","LE1",
"Office & Administrative","Other Miscellaneous Expense","Shared Services","Inbound Allocations","LE1",
"Office & Administrative","Other Miscellaneous Expense","Shared Services","Outbound Allocations","LE1",
"Office & Administrative","Administrative Other","Administrative","Administrative","LE1","175626.65100000004"
"Office & Administrative","Administrative Other","CAPEX","CAPEX","LE1",
"Office & Administrative","Administrative Other","Depr & Amort","Amortization","LE1",
"Office & Administrative","Administrative Other","Depr & Amort","Depreciation","LE1",
"Office & Administrative","Administrative Other","Hardware & Software","Hardware","LE1",
"Office & Administrative","Administrative Other","Hardware & Software","Hardware Maintenance","LE1",
"Office & Administrative","Administrative Other","Hardware & Software","Software","LE1",
"Office & Administrative","Administrative Other","Hardware & Software","Software Maintenance","LE1",
"Office & Administrative","Administrative Other","Labor","External Labor","LE1",
"Office & Administrative","Administrative Other","Labor","Internal Labor","LE1",
"Office & Administrative","Administrative Other","Other","Employee Performance","LE1",
"Office & Administrative","Administrative Other","Other","Legal","LE1",
"Office & Administrative","Administrative Other","Other","Moving","LE1",
"Office & Administrative","Administrative Other","Other","Other","LE1",
"Office & Administrative","Administrative Other","Other","Project Expenses","LE1",
